vendor_id,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code_id,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount
1,2024-01-06 09:42:36,2024-01-06 09:44:36,2,14.84,-73.827535,40.698978,1,N,-73.841953,40.683078,1,40.6,0.0,0.5,5.99,0.0,47.09
1,2024-01-02 10:42:58,2024-01-02 10:48:58,2,13.03,-73.984409,40.751071,1,N,-74.003348,40.739025,2,38.07,0.0,0.5,0.0,0.0,38.57
2,2024-01-22 19:21:59,2024-01-22 19:59:59,1,8.51,-73.966543,40.82386,1,N,-73.956191,40.810246,1,42.77,0.0,0.5,2.3,0.0,45.57
2,2024-01-05 23:05:00,2024-01-05 23:11:00,2,0.96,-73.936022,40.721796,1,N,-73.942264,40.712377,1,7.9,0.0,0.5,1.92,0.0,10.32
2,2024-01-04 19:48:31,2024-01-04 20:24:31,1,3.93,-73.962047,40.775728,1,N,-73.946629,40.770193,1,30.33,0.0,0.5,5.01,0.0,35.84
2,2024-01-04 20:57:51,2024-01-04 21:52:51,1,7.36,-73.980163,40.6702,1,N,-73.989044,40.675627,1,48.4,0.0,0.5,2.54,0.0,51.44
1,2024-01-04 11:11:23,2024-01-04 11:50:23,3,5.47,-73.859507,40.756828,1,N,-73.869715,40.755318,1,35.67,0.0,0.5,6.11,0.0,42.28
2,2024-01-12 02:51:37,2024-01-12 03:44:37,3,18.86,-74.04037,40.713091,1,N,-74.04966,40.70153,1,76.15,0.0,0.5,4.05,0.0,80.7
2,2024-01-20 04:56:40,2024-01-20 05:53:40,1,11.27,-73.775636,40.74177,1,N,-73.785041,40.731635,2,59.17,0.0,0.5,0.0,0.0,59.67
2,2024-01-18 13:45:23,2024-01-18 14:00:23,1,17.24,-73.750802,40.677666,1,N,-73.751061,40.687897,1,53.1,0.0,0.5,10.51,0.0,64.11
2,2024-01-29 22:52:00,2024-01-29 22:57:00,1,11.11,-73.93457,40.769178,1,N,-73.935848,40.759235,1,32.77,0.0,0.5,5.58,0.0,38.85
1,2024-01-17 12:19:59,2024-01-17 12:27:59,2,14.42,-73.96195,40.681632,1,N,-73.98182,40.690516,1,42.55,0.0,0.5,5.4,0.0,48.45
2,2024-01-31 08:31:39,2024-01-31 08:51:39,4,3.31,-73.797499,40.751533,1,N,-73.809543,40.74649,1,20.77,0.0,0.5,3.11,0.0,24.38
2,2024-01-01 22:41:31,2024-01-01 22:49:31,2,1.25,-73.77127,40.825744,1,N,-73.758003,40.818045,1,9.62,0.0,0.5,0.21,0.0,10.33
1,2024-01-04 08:38:18,2024-01-04 09:27:18,2,3.39,-73.890188,40.675152,1,N,-73.883798,40.693026,2,35.48,0.0,0.5,0.0,0.0,35.98
1,2024-01-27 04:19:31,2024-01-27 05:08:31,2,13.03,-73.831021,40.69023,1,N,-73.838552,40.710036,2,59.57,0.0,0.5,0.0,0.0,60.07
1,2024-01-13 00:49:51,2024-01-13 01:04:51,3,0.24,-74.030792,40.654207,1,N,-74.028635,40.657745,1,10.6,0.0,0.5,0.61,0.0,11.71
1,2024-01-17 00:58:37,2024-01-17 01:03:37,2,14.49,-73.895753,40.705695,1,N,-73.896336,40.707264,2,41.23,0.0,0.5,0.0,0.0,41.73
1,2024-01-23 23:03:12,2024-01-23 23:55:12,4,8.28,-73.927882,40.668865,1,N,-73.921523,40.663037,1,49.2,0.0,0.5,8.28,0.0,57.98
1,2024-01-03 22:37:07,2024-01-03 23:03:07,1,10.77,-73.831536,40.810119,1,N,-73.847165,40.797783,2,42.42,0.0,0.5,0.0,0.0,42.92
1,2024-01-14 12:31:43,2024-01-14 13:01:43,1,11.05,-73.975058,40.834653,1,N,-73.977333,40.849107,1,45.12,0.0,0.5,10.93,0.0,56.55
2,2024-01-09 01:45:59,2024-01-09 02:12:59,2,7.64,-73.904308,40.692749,1,N,-73.908266,40.675094,1,35.1,0.0,0.5,8.13,0.0,43.73
1,2024-01-14 20:20:21,2024-01-14 20:48:21,1,9.78,-73.841023,40.796101,1,N,-73.829689,40.802576,1,40.95,0.0,0.5,2.23,0.0,43.68
1,2024-01-29 02:47:38,2024-01-29 03:35:38,4,10.11,-73.887341,40.799595,1,N,-73.905054,40.802962,1,51.77,0.0,0.5,0.74,0.0,53.01
2,2024-01-10 00:30:06,2024-01-10 00:35:06,1,17.82,-73.871489,40.785043,1,N,-73.882081,40.769838,1,49.55,0.0,0.5,7.67,0.0,57.72
2,2024-01-29 08:01:39,2024-01-29 08:38:39,2,4.85,-73.893165,40.836941,1,N,-73.904995,40.845589,1,33.12,0.0,0.5,5.56,0.0,39.18
2,2024-01-23 04:42:18,2024-01-23 05:03:18,1,11.3,-73.771295,40.837147,1,N,-73.790922,40.841993,1,41.25,0.0,0.5,5.54,0.0,47.29
1,2024-01-07 10:19:23,2024-01-07 11:19:23,2,8.82,-73.945297,40.663758,1,N,-73.955526,40.655157,1,54.55,0.0,0.5,8.34,0.0,63.39
1,2024-01-27 22:09:30,2024-01-27 22:29:30,3,17.81,-73.770473,40.670717,1,N,-73.755348,40.661296,1,57.02,0.0,0.5,3.88,0.0,61.4
2,2024-01-17 15:29:04,2024-01-17 15:43:04,1,18.17,-73.843751,40.820583,1,N,-73.843535,40.810628,1,54.93,0.0,0.5,8.71,0.0,64.14
1,2024-01-03 03:21:53,2024-01-03 03:22:53,3,8.89,-73.949933,40.676164,1,N,-73.930741,40.662627,2,25.23,0.0,0.5,0.0,0.0,25.73
1,2024-01-06 10:20:33,2024-01-06 10:25:33,2,7.45,-73.766485,40.788204,1,N,-73.780523,40.769645,1,23.62,0.0,0.5,2.54,0.0,26.66
2,2024-01-15 23:08:49,2024-01-15 23:32:49,1,4.28,-73.780306,40.809224,1,N,-73.765878,40.825181,1,25.2,0.0,0.5,2.23,0.0,27.93
2,2024-01-31 03:07:23,2024-01-31 03:55:23,2,16.23,-74.003634,40.835976,1,N,-73.98905,40.855024,1,67.08,0.0,0.5,3.01,0.0,70.59
1,2024-01-20 23:40:50,2024-01-21 00:32:50,2,14.06,-73.849028,40.797012,1,N,-73.859101,40.78338,1,63.65,0.0,0.5,13.66,0.0,77.81
