transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,total_amount
TXN000001,CUST00058,PROD0007,2024-08-06,3,56.53,169.59
TXN000002,CUST00378,PROD0027,2025-04-19,5,26.52,132.6
TXN000003,CUST00017,PROD0008,2024-11-25,1,51.54,51.54
TXN000004,CUST00309,PROD0007,2024-10-14,5,47.78,238.9
TXN000005,CUST00360,PROD0140,2024-08-01,4,51.88,207.52
TXN000006,CUST00143,PROD0002,2024-09-01,2,142.65,285.3
TXN000007,CUST00143,PROD0040,2025-01-06,2,191.87,383.74
TXN000008,CUST00053,PROD0024,2025-01-08,4,28.38,113.52
TXN000009,CUST00310,PROD0068,2025-01-04,1,148.65,148.65
TXN000010,CUST00064,PROD0097,2024-09-28,1,114.89,114.89
TXN000011,CUST00317,PROD0093,2024-08-12,5,46.53,232.65
TXN000012,CUST00024,PROD0170,2025-05-25,2,156.88,313.76
TXN000013,CUST00438,PROD0060,2025-05-20,1,82.22,82.22
TXN000014,CUST00326,PROD0094,2024-11-09,2,80.33,160.66
TXN000015,CUST00344,PROD0069,2025-03-14,1,125.73,125.73
TXN000016,CUST00274,PROD0187,2025-04-03,2,41.05,82.1
TXN000017,CUST00139,PROD0164,2024-12-17,5,51.73,258.65
TXN000018,CUST00432,PROD0197,2025-01-14,1,53.52,53.52
TXN000019,CUST00413,PROD0081,2025-06-13,4,60.87,243.48
TXN000020,CUST00468,PROD0146,2025-03-13,3,50.4,151.2
TXN000021,CUST00203,PROD0165,2024-10-17,4,37.15,148.6
TXN000022,CUST00127,PROD0191,2025-04-19,5,112.41,562.05
TXN000023,CUST00220,PROD0150,2024-09-03,4,78.78,315.12
TXN000024,CUST00261,PROD0127,2025-04-20,1,153.6,153.6
TXN000025,CUST00079,PROD0161,2025-05-04,2,160.5,321.0
TXN000026,CUST00306,PROD0017,2024-11-25,4,82.51,330.04
TXN000027,CUST00271,PROD0065,2024-11-02,5,173.55,867.75
TXN000028,CUST00349,PROD0185,2025-06-24,1,139.52,139.52
TXN000029,CUST00385,PROD0069,2024-09-28,3,31.19,93.57
TXN000030,CUST00081,PROD0117,2024-11-19,1,191.23,191.23
TXN000031,CUST00498,PROD0129,2025-02-15,2,106.46,212.92
TXN000032,CUST00446,PROD0161,2025-05-06,3,169.92,509.76
TXN000033,CUST00312,PROD0051,2024-10-13,2,81.04,162.08
TXN000034,CUST00277,PROD0200,2025-04-08,5,184.51,922.55
TXN000035,CUST00166,PROD0126,2024-08-27,1,31.25,31.25
TXN000036,CUST00450,PROD0079,2024-12-26,2,21.01,42.02
TXN000037,CUST00485,PROD0021,2024-09-12,1,149.06,149.06
TXN000038,CUST00390,PROD0137,2025-05-25,2,34.39,68.78
TXN000039,CUST00485,PROD0141,2024-10-29,2,60.36,120.72
TXN000040,CUST00217,PROD0055,2024-08-23,5,153.5,767.5
TXN000041,CUST00103,PROD0183,2024-07-11,3,85.81,257.43
TXN000042,CUST00333,PROD0096,2024-07-21,4,180.93,723.72
TXN000043,CUST00062,PROD0064,2024-11-10,2,22.16,44.32
TXN000044,CUST00302,PROD0142,2025-06-19,2,121.8,243.6
TXN000045,CUST00037,PROD0182,2025-06-26,1,53.5,53.5
TXN000046,CUST00441,PROD0085,2025-06-13,1,107.69,107.69
TXN000047,CUST00343,PROD0125,2025-02-07,2,112.45,224.9
TXN000048,CUST00296,PROD0122,2024-09-10,2,159.08,318.16
TXN000049,CUST00098,PROD0025,2024-12-03,1,135.21,135.21
TXN000050,CUST00217,PROD0106,2024-12-30,4,174.13,696.52
TXN000051,CUST00345,PROD0168,2025-06-02,1,21.52,21.52
TXN000052,CUST00410,PROD0028,2025-01-07,2,46.4,92.8
TXN000053,CUST00230,PROD0036,2024-09-28,4,44.86,179.44
TXN000054,CUST00128,PROD0020,2024-11-05,4,163.52,654.08
TXN000055,CUST00051,PROD0013,2024-09-21,5,168.85,844.25
TXN000056,CUST00475,PROD0193,2025-05-13,2,41.6,83.2
TXN000057,CUST00247,PROD0055,2024-10-24,4,181.46,725.84
TXN000058,CUST00195,PROD0001,2025-04-06,4,60.39,241.56
