customer_id,purchase_date,channel,amount_spent,items_purchased,avg_item_price
CUST00279,2024-11-28,Call Center,217.26,5,43.45
CUST00347,2025-06-18,Online,395.14,2,197.57
CUST00291,2024-05-12,Online,765.72,1,765.72
CUST00069,2025-04-21,Mobile,639.13,3,213.04
CUST00217,2024-04-21,Call Center,73.84,7,10.55
CUST00147,2024-07-06,Online,739.52,3,246.51
CUST00329,2025-02-21,Mobile,623.45,6,103.91
CUST00097,2024-12-01,Online,31.67,6,5.28
CUST00325,2024-05-24,Call Center,563.86,9,62.65
CUST00550,2024-04-11,Mobile,480.63,1,480.63
CUST00505,2024-03-21,Mobile,730.74,6,121.79
CUST00160,2024-08-13,Online,210.99,10,21.1
CUST00435,2025-01-30,Store,340.38,7,48.63
CUST00147,2024-09-03,Call Center,450.19,9,50.02
CUST00394,2025-05-29,Online,505.04,9,56.12
CUST00534,2024-05-30,Mobile,264.82,3,88.27
CUST00188,2025-06-24,Mobile,54.06,2,27.03
CUST00004,2024-08-14,Mobile,501.14,8,62.64
CUST00450,2025-03-19,Mobile,227.51,4,56.88
CUST00532,2024-02-27,Store,402.62,3,134.21
CUST00024,2024-08-28,Mobile,677.78,2,338.89
CUST00180,2024-08-21,Store,631.28,2,315.64
CUST00067,2024-07-10,Store,782.75,10,78.28
CUST00168,2025-05-18,Call Center,687.03,7,98.15
CUST00285,2024-12-16,Call Center,709.42,3,236.47
CUST00539,2024-04-03,Online,71.71,10,7.17
CUST00425,2025-03-02,Mobile,301.05,10,30.11
CUST00221,2024-05-09,Call Center,739.08,9,82.12
CUST00002,2024-07-16,Call Center,478.52,8,59.81
CUST00059,2025-03-02,Store,717.83,1,717.83
CUST00051,2025-05-17,Mobile,462.58,5,92.52
CUST00323,2024-03-04,Call Center,645.43,7,92.2
CUST00055,2024-06-27,Call Center,796.17,8,99.52
CUST00387,2024-09-13,Online,317.43,7,45.35
CUST00064,2025-05-18,Mobile,763.6,5,152.72
CUST00084,2024-04-27,Store,320.14,4,80.03
CUST00009,2024-12-03,Mobile,598.62,2,299.31
CUST00420,2024-08-22,Online,678.63,9,75.4
CUST00139,2024-08-13,Store,788.09,1,788.09
CUST00135,2024-07-29,Mobile,233.05,9,25.89
CUST00150,2024-08-14,Mobile,328.55,5,65.71
CUST00391,2025-03-06,Online,178.92,2,89.46
CUST00552,2025-06-06,Call Center,53.33,7,7.62
CUST00567,2025-01-07,Mobile,361.44,9,40.16
CUST00272,2025-02-10,Mobile,697.44,7,99.63
CUST00370,2025-04-26,Call Center,434.99,4,108.75
CUST00099,2024-05-24,Store,532.73,8,66.59
CUST00543,2024-06-02,Call Center,765.88,2,382.94
CUST00592,2024-10-13,Call Center,288.06,9,32.01
CUST00345,2024-04-11,Store,338.59,9,37.62
CUST00505,2024-08-09,Store,560.42,7,80.06
CUST00195,2024-12-10,Store,698.77,10,69.88
CUST00024,2024-12-30,Online,95.3,4,23.82
CUST00512,2024-10-04,Call Center,287.52,6,47.92
CUST00045,2025-01-05,Mobile,465.26,4,116.31
CUST00163,2024-09-23,Mobile,48.21,8,6.03
CUST00529,2024-02-22,Store,279.99,10,28.0
CUST00295,2024-11-25,Online,151.78,3,50.59
CUST00110,2024-04-25,Call Center,309.54,5,61.91
CUST00292,2024-04-28,Online,155.21,7,22.17
CUST00378,2024-06-09,Store,751.69,8,93.96
CUST00454,2024-12-16,Call Center,127.76,2,63.88
CUST00286,2025-04-29,Mobile,753.13,5,150.63
CUST00273,2025-05-23,Store,712.62,9,79.18
CUST00187,2024-08-08,Mobile,756.33,1,756.33
