order_id,customer_id,product_id,order_date,category,segment,sales_amount,discount_rate,profit_amount
ORD000001,CUST00147,PROD0037,2025-05-21,Furniture,Corporate,678.21,0.238,160.03
ORD000002,CUST00312,PROD0005,2024-02-05,Office Supplies,Corporate,585.09,0.187,224.75
ORD000003,CUST00202,PROD0046,2024-04-11,Technology,Consumer,823.82,0.113,106.04
ORD000004,CUST00254,PROD0033,2024-01-22,Furniture,Home Office,978.64,0.082,151.25
ORD000005,CUST00026,PROD0149,2025-04-25,Technology,Consumer,943.07,0.252,178.1
ORD000006,CUST00268,PROD0027,2025-04-12,Office Supplies,Home Office,934.13,0.204,119.78
ORD000007,CUST00235,PROD0085,2023-10-01,Furniture,Home Office,670.83,0.132,92.51
ORD000008,CUST00400,PROD0082,2025-04-08,Technology,Home Office,282.76,0.218,85.27
ORD000009,CUST00283,PROD0030,2025-04-18,Furniture,Corporate,901.38,0.219,187.91
ORD000010,CUST00022,PROD0122,2024-04-11,Furniture,Home Office,778.18,0.107,228.39
ORD000011,CUST00375,PROD0040,2023-08-19,Office Supplies,Corporate,126.76,0.161,29.53
ORD000012,CUST00076,PROD0001,2025-05-22,Technology,Consumer,143.51,0.005,47.63
ORD000013,CUST00061,PROD0137,2024-07-19,Furniture,Corporate,938.6,0.211,331.42
ORD000014,CUST00045,PROD0009,2024-05-31,Technology,Home Office,221.97,0.281,49.14
ORD000015,CUST00295,PROD0104,2023-07-29,Furniture,Home Office,594.6,0.274,117.85
ORD000016,CUST00027,PROD0048,2024-07-09,Office Supplies,Consumer,787.58,0.056,253.05
ORD000017,CUST00343,PROD0060,2025-05-08,Furniture,Consumer,358.49,0.233,141.26
ORD000018,CUST00116,PROD0016,2024-05-27,Furniture,Home Office,80.0,0.008,21.1
ORD000019,CUST00262,PROD0129,2023-10-11,Office Supplies,Consumer,587.36,0.079,81.63
ORD000020,CUST00080,PROD0064,2024-05-25,Technology,Consumer,705.26,0.037,202.22
ORD000021,CUST00193,PROD0109,2024-12-06,Technology,Consumer,203.1,0.035,39.36
ORD000022,CUST00069,PROD0139,2023-12-26,Office Supplies,Consumer,698.72,0.06,79.06
ORD000023,CUST00246,PROD0070,2024-09-28,Office Supplies,Consumer,492.11,0.102,96.45
ORD000024,CUST00374,PROD0054,2025-06-19,Furniture,Home Office,167.32,0.171,39.03
ORD000025,CUST00228,PROD0079,2024-02-23,Office Supplies,Home Office,497.1,0.165,113.5
ORD000026,CUST00266,PROD0148,2024-04-11,Technology,Consumer,621.64,0.21,197.61
ORD000027,CUST00311,PROD0007,2025-01-23,Office Supplies,Consumer,802.96,0.191,101.54
ORD000028,CUST00119,PROD0049,2023-08-31,Technology,Home Office,797.8,0.243,94.21
ORD000029,CUST00249,PROD0119,2025-01-07,Furniture,Corporate,82.9,0.138,25.55
ORD000030,CUST00072,PROD0030,2024-02-05,Furniture,Corporate,346.15,0.03,74.87
ORD000031,CUST00168,PROD0080,2024-03-28,Technology,Consumer,795.47,0.055,151.47
ORD000032,CUST00123,PROD0076,2024-04-11,Office Supplies,Home Office,67.66,0.054,24.75
ORD000033,CUST00110,PROD0036,2025-01-21,Technology,Home Office,939.62,0.177,295.9
ORD000034,CUST00134,PROD0128,2024-12-17,Furniture,Home Office,202.51,0.076,73.81
ORD000035,CUST00186,PROD0035,2024-01-19,Technology,Corporate,322.17,0.227,56.85
ORD000036,CUST00293,PROD0133,2025-01-23,Furniture,Consumer,388.53,0.132,92.37
ORD000037,CUST00278,PROD0028,2024-03-04,Technology,Home Office,723.25,0.144,88.87
ORD000038,CUST00342,PROD0053,2025-03-11,Furniture,Home Office,105.9,0.203,24.13
ORD000039,CUST00096,PROD0092,2025-01-30,Technology,Consumer,279.78,0.277,35.41
ORD000040,CUST00165,PROD0048,2023-12-08,Technology,Home Office,369.28,0.098,50.54
ORD000041,CUST00031,PROD0003,2024-03-11,Office Supplies,Home Office,101.7,0.268,38.49
ORD000042,CUST00109,PROD0063,2023-10-10,Technology,Corporate,58.55,0.033,11.2
ORD000043,CUST00316,PROD0129,2025-04-17,Office Supplies,Home Office,683.52,0.078,149.93
ORD000044,CUST00087,PROD0083,2024-12-21,Furniture,Home Office,422.18,0.188,149.84
ORD000045,CUST00169,PROD0118,2023-08-20,Furniture,Home Office,743.44,0.133,216.26
ORD000046,CUST00009,PROD0134,2024-02-19,Technology,Corporate,51.9,0.174,17.15
ORD000047,CUST00039,PROD0114,2025-03-06,Technology,Corporate,122.83,0.006,42.59
ORD000048,CUST00336,PROD0129,2023-07-23,Office Supplies,Corporate,246.56,0.229,25.47
ORD000049,CUST00188,PROD0027,2024-08-13,Furniture,Consumer,146.76,0.274,41.06
ORD000050,CUST00059,PROD0111,2023-08-28,Technology,Home Office,82.84,0.221,10.84
ORD000051,CUST00221,PROD0131,2023-12-09,Technology,Corporate,706.45,0.173,149.96
ORD000052,CUST00218,PROD0140,2023-08-17,Technology,Corporate,728.77,0.027,206.81
ORD000053,CUST00011,PROD0110,2025-04-30,Furniture,Corporate,847.69,0.162,91.29
ORD000054,CUST00158,PROD0009,2024-03-25,Technology,Home Office,409.74,0.235,133.72
ORD000055,CUST00181,PROD0012,2025-04-07,Office Supplies,Consumer,551.48,0.125,114.72
ORD000056,CUST00145,PROD0029,2024-03-27,Furniture,Corporate,513.17,0.056,68.15
ORD000057,CUST00222,PROD0123,2024-04-21,Technology,Consumer,677.68,0.216,120.32
ORD000058,CUST00209,PROD0027,2023-09-28,Furniture,Corporate,302.97,0.239,86.5
ORD000059,CUST00362,PROD0113,2024-01-23,Office Supplies,Corporate,737.75,0.233,220.08
ORD000060,CUST00400,PROD0104,2024-05-30,Technology,Consumer,638.7,0.004,119.61
ORD000061,CUST00320,PROD0082,2024-07-06,Technology,Home Office,606.99,0.132,135.97
ORD000062,CUST00139,PROD0064,2025-06-22,Office Supplies,Corporate,317.19,0.217,32.58
ORD000063,CUST00089,PROD0016,2024-02-02,Furniture,Home Office,873.76,0.267,118.85
ORD000064,CUST00131,PROD0038,2024-07-20,Office Supplies,Consumer,48.21,0.24,8.67
ORD000065,CUST00294,PROD0113,2025-01-04,Office Supplies,Consumer,935.12,0.028,177.49
ORD000066,CUST00306,PROD0035,2023-07-14,Office Supplies,Home Office,372.24,0.297,78.68
ORD000067,CUST00346,PROD0093,2024-03-28,Technology,Home Office,928.57,0.177,303.68
ORD000068,CUST00066,PROD0125,2025-01-23,Furniture,Corporate,361.05,0.018,52.39
ORD000069,CUST00305,PROD0145,2024-03-18,Furniture,Corporate,840.83,0.209,88.98
ORD000070,CUST00094,PROD0087,2024-10-22,Technology,Home Office,555.92,0.283,173.14
ORD000071,CUST00196,PROD0086,2025-06-16,Furniture,Home Office,177.61,0.06,47.11
ORD000072,CUST00193,PROD0085,2024-01-14,Technology,Home Office,253.98,0.069,93.08
ORD000073,CUST00164,PROD0030,2024-09-08,Furniture,Home Office,341.35,0.113,37.25
ORD000074,CUST00109,PROD0073,2024-07-29,Technology,Corporate,592.72,0.012,160.87
ORD000075,CUST00017,PROD0122,2025-05-01,Furniture,Consumer,253.2,0.04,29.73
ORD000076,CUST00375,PROD0146,2023-07-18,Furniture,Corporate,100.37,0.158,13.64
ORD000077,CUST00015,PROD0116,2024-09-20,Technology,Consumer,340.21,0.271,110.14
ORD000078,CUST00216,PROD0142,2023-09-30,Office Supplies,Home Office,868.58,0.106,184.55
ORD000079,CUST00223,PROD0080,2025-03-27,Technology,Corporate,620.33,0.141,225.91
ORD000080,CUST00313,PROD0013,2023-09-06,Technology,Consumer,396.08,0.059,93.76
